date_key,full_date,year,month_number,month_name,year_month,week_number,day_of_month,day_of_week
20150701,2015-07-01,2015,7,July,2015-07,27,1,Wednesday
20150702,2015-07-02,2015,7,July,2015-07,27,2,Thursday
20150703,2015-07-03,2015,7,July,2015-07,27,3,Friday
20150704,2015-07-04,2015,7,July,2015-07,27,4,Saturday
20150705,2015-07-05,2015,7,July,2015-07,27,5,Sunday
20150706,2015-07-06,2015,7,July,2015-07,28,6,Monday
20150707,2015-07-07,2015,7,July,2015-07,28,7,Tuesday
20150708,2015-07-08,2015,7,July,2015-07,28,8,Wednesday
20150709,2015-07-09,2015,7,July,2015-07,28,9,Thursday
20150710,2015-07-10,2015,7,July,2015-07,28,10,Friday
20150711,2015-07-11,2015,7,July,2015-07,28,11,Saturday
20150712,2015-07-12,2015,7,July,2015-07,28,12,Sunday
20150713,2015-07-13,2015,7,July,2015-07,29,13,Monday
20150714,2015-07-14,2015,7,July,2015-07,29,14,Tuesday
20150715,2015-07-15,2015,7,July,2015-07,29,15,Wednesday
20150716,2015-07-16,2015,7,July,2015-07,29,16,Thursday
20150717,2015-07-17,2015,7,July,2015-07,29,17,Friday
20150718,2015-07-18,2015,7,July,2015-07,29,18,Saturday
20150719,2015-07-19,2015,7,July,2015-07,29,19,Sunday
20150720,2015-07-20,2015,7,July,2015-07,30,20,Monday
20150721,2015-07-21,2015,7,July,2015-07,30,21,Tuesday
20150722,2015-07-22,2015,7,July,2015-07,30,22,Wednesday
20150723,2015-07-23,2015,7,July,2015-07,30,23,Thursday
20150724,2015-07-24,2015,7,July,2015-07,30,24,Friday
20150725,2015-07-25,2015,7,July,2015-07,30,25,Saturday
20150726,2015-07-26,2015,7,July,2015-07,30,26,Sunday
20150727,2015-07-27,2015,7,July,2015-07,31,27,Monday
20150728,2015-07-28,2015,7,July,2015-07,31,28,Tuesday
20150729,2015-07-29,2015,7,July,2015-07,31,29,Wednesday
20150730,2015-07-30,2015,7,July,2015-07,31,30,Thursday
20150731,2015-07-31,2015,7,July,2015-07,31,31,Friday
20150801,2015-08-01,2015,8,August,2015-08,31,1,Saturday
20150802,2015-08-02,2015,8,August,2015-08,31,2,Sunday
20150803,2015-08-03,2015,8,August,2015-08,32,3,Monday
20150804,2015-08-04,2015,8,August,2015-08,32,4,Tuesday
20150805,2015-08-05,2015,8,August,2015-08,32,5,Wednesday
20150806,2015-08-06,2015,8,August,2015-08,32,6,Thursday
20150807,2015-08-07,2015,8,August,2015-08,32,7,Friday
20150808,2015-08-08,2015,8,August,2015-08,32,8,Saturday
20150809,2015-08-09,2015,8,August,2015-08,32,9,Sunday
20150810,2015-08-10,2015,8,August,2015-08,33,10,Monday
20150811,2015-08-11,2015,8,August,2015-08,33,11,Tuesday
20150812,2015-08-12,2015,8,August,2015-08,33,12,Wednesday
20150813,2015-08-13,2015,8,August,2015-08,33,13,Thursday
20150814,2015-08-14,2015,8,August,2015-08,33,14,Friday
20150815,2015-08-15,2015,8,August,2015-08,33,15,Saturday
20150816,2015-08-16,2015,8,August,2015-08,33,16,Sunday
20150817,2015-08-17,2015,8,August,2015-08,34,17,Monday
20150818,2015-08-18,2015,8,August,2015-08,34,18,Tuesday
20150819,2015-08-19,2015,8,August,2015-08,34,19,Wednesday
20150820,2015-08-20,2015,8,August,2015-08,34,20,Thursday
20150821,2015-08-21,2015,8,August,2015-08,34,21,Friday
20150822,2015-08-22,2015,8,August,2015-08,34,22,Saturday
20150823,2015-08-23,2015,8,August,2015-08,34,23,Sunday
20150824,2015-08-24,2015,8,August,2015-08,35,24,Monday
20150825,2015-08-25,2015,8,August,2015-08,35,25,Tuesday
20150826,2015-08-26,2015,8,August,2015-08,35,26,Wednesday
20150827,2015-08-27,2015,8,August,2015-08,35,27,Thursday
20150828,2015-08-28,2015,8,August,2015-08,35,28,Friday
20150829,2015-08-29,2015,8,August,2015-08,35,29,Saturday
20150830,2015-08-30,2015,8,August,2015-08,35,30,Sunday
20150831,2015-08-31,2015,8,August,2015-08,36,31,Monday
20150901,2015-09-01,2015,9,September,2015-09,36,1,Tuesday
20150902,2015-09-02,2015,9,September,2015-09,36,2,Wednesday
20150903,2015-09-03,2015,9,September,2015-09,36,3,Thursday
20150904,2015-09-04,2015,9,September,2015-09,36,4,Friday
20150905,2015-09-05,2015,9,September,2015-09,36,5,Saturday
20150906,2015-09-06,2015,9,September,2015-09,36,6,Sunday
20150907,2015-09-07,2015,9,September,2015-09,37,7,Monday
20150908,2015-09-08,2015,9,September,2015-09,37,8,Tuesday
20150909,2015-09-09,2015,9,September,2015-09,37,9,Wednesday
20150910,2015-09-10,2015,9,September,2015-09,37,10,Thursday
20150911,2015-09-11,2015,9,September,2015-09,37,11,Friday
20150912,2015-09-12,2015,9,September,2015-09,37,12,Saturday
20150913,2015-09-13,2015,9,September,2015-09,37,13,Sunday
20150914,2015-09-14,2015,9,September,2015-09,38,14,Monday
20150915,2015-09-15,2015,9,September,2015-09,38,15,Tuesday
20150916,2015-09-16,2015,9,September,2015-09,38,16,Wednesday
20150917,2015-09-17,2015,9,September,2015-09,38,17,Thursday
20150918,2015-09-18,2015,9,September,2015-09,38,18,Friday
20150919,2015-09-19,2015,9,September,2015-09,38,19,Saturday
20150920,2015-09-20,2015,9,September,2015-09,38,20,Sunday
20150921,2015-09-21,2015,9,September,2015-09,39,21,Monday
20150922,2015-09-22,2015,9,September,2015-09,39,22,Tuesday
20150923,2015-09-23,2015,9,September,2015-09,39,23,Wednesday
20150924,2015-09-24,2015,9,September,2015-09,39,24,Thursday
20150925,2015-09-25,2015,9,September,2015-09,39,25,Friday
20150926,2015-09-26,2015,9,September,2015-09,39,26,Saturday
20150927,2015-09-27,2015,9,September,2015-09,39,27,Sunday
20150928,2015-09-28,2015,9,September,2015-09,40,28,Monday
20150929,2015-09-29,2015,9,September,2015-09,40,29,Tuesday
20150930,2015-09-30,2015,9,September,2015-09,40,30,Wednesday
20151001,2015-10-01,2015,10,October,2015-10,40,1,Thursday
20151002,2015-10-02,2015,10,October,2015-10,40,2,Friday
20151003,2015-10-03,2015,10,October,2015-10,40,3,Saturday
20151004,2015-10-04,2015,10,October,2015-10,40,4,Sunday
20151005,2015-10-05,2015,10,October,2015-10,41,5,Monday
20151006,2015-10-06,2015,10,October,2015-10,41,6,Tuesday
20151007,2015-10-07,2015,10,October,2015-10,41,7,Wednesday
20151008,2015-10-08,2015,10,October,2015-10,41,8,Thursday
20151009,2015-10-09,2015,10,October,2015-10,41,9,Friday
20151010,2015-10-10,2015,10,October,2015-10,41,10,Saturday
20151011,2015-10-11,2015,10,October,2015-10,41,11,Sunday
20151012,2015-10-12,2015,10,October,2015-10,42,12,Monday
20151013,2015-10-13,2015,10,October,2015-10,42,13,Tuesday
20151014,2015-10-14,2015,10,October,2015-10,42,14,Wednesday
20151015,2015-10-15,2015,10,October,2015-10,42,15,Thursday
20151016,2015-10-16,2015,10,October,2015-10,42,16,Friday
