room_key,reserved_room_type,assigned_room_type
1,A,A
2,A,B
3,A,C
4,A,D
5,A,E
6,A,F
7,A,G
8,A,H
9,A,I
10,A,K
11,B,A
12,B,B
13,B,D
14,B,E
15,B,F
16,B,G
17,B,K
18,C,A
19,C,B
20,C,C
21,C,D
22,C,E
23,C,F
24,C,G
25,C,H
26,C,I
27,D,A
28,D,B
29,D,C
30,D,D
31,D,E
32,D,F
33,D,G
34,D,H
35,D,I
36,D,K
37,E,A
38,E,B
39,E,C
40,E,D
41,E,E
42,E,F
43,E,G
44,E,H
45,E,I
46,E,K
47,F,A
48,F,B
49,F,D
50,F,E
51,F,F
52,F,G
53,F,H
54,F,I
55,F,K
56,G,A
57,G,B
58,G,C
59,G,E
60,G,F
61,G,G
62,G,H
63,G,I
64,G,K
65,H,D
66,H,G
67,H,H
68,H,I
69,L,A
70,L,C
71,L,F
72,L,H
73,L,L
74,P,P
