hotel,year_month,year,month_number,total_bookings,successful_bookings,canceled_bookings,occupancy_rate,adr,revpar,total_revenue,avg_lead_time,avg_total_nights
City Hotel,2015-07,2015,7,331,127,204,0.38368580060422963,59.267007874015725,22.739909365558905,24014.509999999995,112.96374622356495,3.6314199395770395
City Hotel,2015-08,2015,8,994,783,211,0.7877263581488934,84.9092975734355,66.88529175050301,196378.26999999996,39.3692152917505,3.067404426559356
City Hotel,2015-09,2015,9,1440,1173,267,0.8145833333333333,109.11669224211418,88.88463888888884,384546.43000000005,42.37152777777778,2.9131944444444446
City Hotel,2015-10,2015,10,1373,1104,269,0.8040786598689003,97.21783514492769,78.17078659868913,316163.3599999999,43.13983976693372,2.893663510560816
City Hotel,2015-11,2015,11,714,586,128,0.8207282913165266,73.00571672354951,59.91785714285716,127706.01000000005,37.77170868347339,3.057422969187675
City Hotel,2015-12,2015,12,957,749,208,0.7826541274817137,81.64343124165558,63.89856844305123,180064.53999999998,37.750261233019856,3.0741901776384535
City Hotel,2016-01,2016,1,962,760,202,0.7900207900207901,76.05784210526316,60.08727650727651,147843.57999999993,24.654885654885653,2.970893970893971
City Hotel,2016-02,2016,2,1587,1228,359,0.7737870195337114,83.60580618892507,64.69308758664145,282746.2799999999,26.516698172652806,3.0422180214240706
City Hotel,2016-03,2016,3,2267,1638,629,0.7225408028231143,88.81208791208793,64.17035730039701,444366.7400000005,43.58623731804146,3.1914424349360386
City Hotel,2016-04,2016,4,2292,1573,719,0.6863001745200699,101.86968213604578,69.91318062827226,479458.2299999998,59.46640488656195,3.0728621291448515
City Hotel,2016-05,2016,5,2185,1571,614,0.7189931350114417,115.15002546148946,82.79207780320364,512748.3000000002,68.316704805492,2.9125858123569794
City Hotel,2016-06,2016,6,2135,1535,600,0.7189695550351288,110.64828013029306,79.55274473067908,478143.49999999953,71.7976580796253,2.875409836065574
City Hotel,2016-07,2016,7,2409,1740,669,0.7222914072229141,117.11960919540225,84.59448733914483,658091.9199999999,99.17019510170195,3.4076380240763804
City Hotel,2016-08,2016,8,2740,1852,888,0.6759124087591241,124.52007019438427,84.16466058394148,725485.639999999,103.5963503649635,3.433941605839416
City Hotel,2016-09,2016,9,2420,1687,733,0.697107438016529,124.97050385299336,87.11786776859496,591663.9599999998,81.04504132231405,2.9702479338842975
City Hotel,2016-10,2016,10,2491,1684,807,0.6760337213970293,112.6139370546317,76.13081894821349,556914.2300000008,90.5881172219992,3.0048173424327578
City Hotel,2016-11,2016,11,2063,1469,594,0.7120698012603005,95.05350578624909,67.68473097430922,431285.8200000002,58.24478914202618,3.2278235579253516
City Hotel,2016-12,2016,12,1919,1175,744,0.6122980719124544,97.06657872340415,59.433678999478836,353741.33000000054,77.68004168837936,3.422094841063054
City Hotel,2017-01,2017,1,1643,1104,539,0.671941570298235,89.55987318840587,60.17900182592823,315483.01000000036,49.99391357273281,3.586731588557517
City Hotel,2017-02,2017,2,1887,1298,589,0.6878643349231585,93.10300462249626,64.04223635400113,382352.1300000004,46.64917859035506,3.34181240063593
City Hotel,2017-03,2017,3,2395,1689,706,0.7052192066805846,93.54393724097088,65.96898121085587,482661.0100000015,63.725678496868476,3.1991649269311067
City Hotel,2017-04,2017,4,2561,1580,981,0.6169465052713784,128.0592848101266,79.00572823115972,643224.9100000006,92.5443186255369,3.2518547442405312
City Hotel,2017-05,2017,5,2917,1847,1070,0.6331847788824134,134.88407688142965,85.40654439492648,719467.3500000014,93.56736372985945,3.0013712718546453
City Hotel,2017-06,2017,6,2625,1734,891,0.6605714285714286,131.46539215686292,86.84228190476202,690440.7099999995,98.21828571428571,3.1081904761904764
City Hotel,2017-07,2017,7,2783,1810,973,0.6503772906934963,128.74475138121636,83.73266259432326,740088.8400000008,131.47107438016528,3.342795544376572
City Hotel,2017-08,2017,8,2596,1641,955,0.6321263482280431,141.0618708104819,89.16892526964592,760800.2800000001,125.31471494607088,3.523497688751926
Resort Hotel,2015-07,2015,7,1246,968,278,0.7768860353130016,125.6127789256197,97.58681380417325,629472.33,69.69662921348315,5.166934189406099
Resort Hotel,2015-08,2015,8,1312,972,340,0.7408536585365854,154.45294238683135,114.42702743902444,808830.9,73.89939024390245,5.477134146341464
Resort Hotel,2015-09,2015,9,1089,854,235,0.7842056932966024,91.16169789227165,71.4895224977043,420041.1800000001,106.33516988062442,5.656565656565657
Resort Hotel,2015-10,2015,10,1043,904,139,0.8667305848513902,57.68742256637173,49.999453499520655,212685.80000000005,67.78906999041227,4.046979865771812
Resort Hotel,2015-11,2015,11,785,686,99,0.8738853503184714,46.27972303207005,40.443171974522365,116503.58999999998,29.94267515923567,3.6445859872611464
Resort Hotel,2015-12,2015,12,901,758,143,0.8412874583795783,59.076160949868175,49.700033296337494,144816.72000000012,38.43951165371809,3.2519422863485015
Resort Hotel,2016-01,2016,1,763,679,84,0.8899082568807339,45.74001472754048,40.70441677588465,81141.95000000003,18.36959370904325,2.836173001310616
Resort Hotel,2016-02,2016,2,1070,924,146,0.8635514018691589,50.91930735930734,43.97143925233643,143298.92999999996,23.33551401869159,3.1598130841121495
Resort Hotel,2016-03,2016,3,1361,1134,227,0.8332108743570904,55.593985890652554,46.32151359294636,209217.18999999997,39.234386480529025,3.3916238060249815
Resort Hotel,2016-04,2016,4,1259,1011,248,0.8030182684670373,67.43232443125612,54.14938840349478,253316.78999999978,53.08498808578236,3.846703733121525
Resort Hotel,2016-05,2016,5,1335,1053,282,0.7887640449438202,71.96522317188978,56.76358052434452,328716.6199999999,91.75730337078652,4.42996254681648
Resort Hotel,2016-06,2016,6,1187,896,291,0.7548441449031171,100.20523437500016,75.63933445661344,471635.95000000007,117.96461668070766,5.572872788542544
Resort Hotel,2016-07,2016,7,1339,935,404,0.6982823002240478,154.81010695187163,108.10115758028378,749986.8499999988,111.90216579536968,5.504107542942495
Resort Hotel,2016-08,2016,8,1586,1058,528,0.6670870113493065,188.7249527410209,125.89596469104674,970561.2000000005,106.78688524590164,5.233291298865069
Resort Hotel,2016-09,2016,9,1199,886,313,0.7389491242702252,109.75199774266363,81.10114261884902,451415.20999999973,147.8740617180984,5.070058381984987
Resort Hotel,2016-10,2016,10,1453,1106,347,0.7611837577426015,67.83163652802894,51.63233998623538,286791.32,98.72401927047488,3.9194769442532693
Resort Hotel,2016-11,2016,11,1134,939,195,0.828042328042328,51.82228966986163,42.911049382716115,179468.9799999999,40.07848324514991,3.6631393298059964
Resort Hotel,2016-12,2016,12,1087,852,235,0.7838086476540939,67.02967136150237,52.538436062557516,197861.4800000001,60.75620975160994,3.518859245630175
Resort Hotel,2017-01,2017,1,1041,862,179,0.8280499519692603,51.552227378190295,42.68781940441886,132747.15,31.181556195965417,3.2372718539865515
Resort Hotel,2017-02,2017,2,1252,971,281,0.7755591054313099,56.86024716786819,44.09848242811503,184245.43000000008,38.53594249201278,3.5
Resort Hotel,2017-03,2017,3,1088,869,219,0.7987132352941176,60.093406214039135,47.99739889705883,215761.2400000001,66.84099264705883,4.4411764705882355
Resort Hotel,2017-04,2017,4,1376,993,383,0.721656976744186,88.50603222557899,63.87099563953484,341529.20000000054,82.78779069767442,4.134447674418604
Resort Hotel,2017-05,2017,5,1430,1042,388,0.7286713286713287,85.2184452975046,62.09623776223762,399820.8099999996,111.94055944055944,4.670629370629371
Resort Hotel,2017-06,2017,6,1470,949,521,0.645578231292517,119.22244467860882,76.96741496598624,567126.7899999997,138.11088435374148,5.355102040816327
Resort Hotel,2017-07,2017,7,1640,1039,601,0.6335365853658537,172.79354186718024,109.47103048780504,922507.7800000007,125.10243902439025,5.431707317073171
Resort Hotel,2017-08,2017,8,1679,1050,629,0.6253722453841573,203.05840952380962,126.98709350804056,1044257.51,121.44312090530077,5.206075044669446
